table_name,display_name,description,ai_context
operation,Work Order Operation,"One row per routing step on a work order: the planned and actual run hours and the actual labor and burden costs for that operation.","Grain is one shop-floor operation (a routing step). This is the source for efficiency metrics: planned vs. actual run hours give the OEE operational efficiency ratio, and actual labor + burden cost over actual run hours give the OEE strategic cost-per-hour. Aggregate with SUM across operations; never assume one row per work order."
purchase_order,Purchase Order,"The supplier purchase order header, including the date the goods were required (required_date) and links to the supplier and the work order.","Grain is one purchase order. Holds the commitment side of delivery performance: required_date is the date the buyer needed the goods. Joins to receiving on po_id to compare what was promised against what actually arrived. Used as the 'due date' in on-time delivery metrics."
receiving,Goods Receipt,"One row per goods receipt against a purchase order, including the date the goods were actually received (receipt_date) and the part and supplier received from.","Grain is one receipt event. Holds the fulfillment side of delivery performance: receipt_date is when the goods actually arrived. Joins to purchase_order on po_id; comparing receipt_date to the PO required_date yields the on-time delivery rate. The same on-time definition is reused across the operations, supplier, and finance perspectives."
EMPLOYEE,Employee Master,"One row per employee: plant workers (machinists, welders, assemblers, inspectors) with their hourly rate and home work center, plus the purchasing buyers identified by buyer_code.","Grain is one employee. Plant-worker hourly_rate is the $40–$45 shop labor cost band; join labor_ticket.employee_id to this table for who did the work, and join part.buyer_code or purchase_order.buyer_id to buyer_code for who buys what. buyer_code is NULL for everyone except the 10 buyers."
receiving_line,Goods Receipt Line,"One row per part received on a goods receipt: the received quantity, inspection disposition, and the purchase-order line it closes against.","Grain is one received part on one receipt. The receiving table is the receipt header; receiving_line carries the line detail and links to po_line (po_line_id) for line-level three-way match. Sum quantity_received across lines of a receipt to reconcile with the header."
receivable,Customer Invoice (AR Header),"One row per accounts-receivable invoice billed against a customer order: invoice and due dates, billed dollars, and payment status (Open, Paid, Disputed, Void).","Grain is one AR invoice. Backfilled 1:1 from billable customer orders (Closed orders are Paid, Shipped orders are Open AR, one engineered Disputed invoice). amount_dollars always equals the sum of its receivable_line amounts. Join to customer_order on order_id; aging = due_date vs. payment status. Open customer orders are deliberately uninvoiced."
receivable_line,Customer Invoice Line (AR Detail),"One row per billed line on a customer invoice: the part, quantity, and dollar amount, with provenance back to the customer order line it bills.",Grain is one invoice line. order_line_id links each billed line to the exact customer_order_line (commercial provenance); shipment_line_id is a nullable placeholder until packslip tables exist and is NULL everywhere. Sum amount by invoice_id to reconcile with the receivable header.
gl_events,GL Event Log,"One row per posted GL costing event — a material issue, labor or burden application, or finished-goods completion — with the source document it came from and the job it hit.","Grain is one economic event. This is the idempotency spine of the synthetic GL: every inventory ledger line and job cost detail line hangs off an event via event_id. source_table/source_id point at the originating document (material_issue, labor_ticket, work_order); event_date is data-derived from that document, never wall-clock. Join to work_order on job_id."
gl_raw_materials_inventory,Raw Materials Inventory Ledger,Signed dollar movements on the raw-materials inventory account: negative lines are material issued out of RM into jobs.,Grain is one signed ledger line. SUM(amount) is the RM balance movement captured by the ledger; the outflow (negative lines) reconciles cent-exact to material_issue.total_cost. Join gl_events on event_id for provenance and work_order on job_id for the receiving job.
gl_wip_inventory,WIP Inventory Ledger,"Signed dollar movements on the work-in-process account: material, labor, and burden flow in (+); completed-job cost flows out (-) to finished goods.","Grain is one signed ledger line. SUM(amount) grouped by job_id is the job's WIP balance — it nets to exactly zero for closed jobs. Inflows tie to material_issue and labor_ticket (labor_cost and burden_cost posted as separate lines, never recomputed); outflows are FG completions at the job's accumulated cost on its close date."
gl_finished_goods_inventory,Finished Goods Inventory Ledger,Signed dollar movements on the finished-goods account: completed work orders arrive at their accumulated job cost.,"Grain is one signed ledger line. Each closed work order posts one FG inflow equal to its WIP outflow (act_mat + act_lab + act_bur), dated at the work-order close date. Planned orders (WO-PLN-*) never appear. COGS is out of scope, so nothing flows out of FG yet."
gl_job_cost_detail,Job Cost Detail,"One row per cost element posted to a job: the MATERIAL, LABOR, or BURDEN dollars a GL event added to the work order.","Grain is one cost element on one event. SUM(amount) by job_id and event_type ties cent-exact to work_order.act_mat_cost / act_lab_cost / act_bur_cost. Use this for job-costing questions ('what is the cost in WIP for this job, split by element'); join work_order on job_id."
